station_name,station_full_name,station_zone,station_address
AA,ATARIA,NER,"Sitapur Rd, Heerpur, Uttar Pradesh 261.."
AABH,AMBIKA BHAWANI HALT,ECR,"Chapra-Patna Highway, Rampur Ami, Biha.."
AADR,AMBANDAURA,NR,"Una, Himachal Pradesh, India"
AAG,ANGAR,CR,"Solapur, Maharashtra, India"
AAGH,ANTAGARH,SECR,"Antagarh, PIN - 494665, Dist. - Kanker.."
AAH,ITEHAR,NCR,"Itahar, West Bengal, India"
AAL,AMLAI,SECR,"Shahdol, Madhya Pradesh, India"
AAM,ANGADIPPURAM,SR,"Railway Station Road, Angadipuram, Ker.."
AAP,AMBIAPUR,NCR,"Amiyapur, Gujarat, India"
AAR,ADESAR,WR,"Adesar, Gujarat, India"
AAS,ASRANADA,NWR,"Jodhpur, Rajasthan, India"
AAY,ARALVAYMOZHI,SR,"Aralvaimozhi, Tamil Nadu, India"
AB,AMBUR,SR,"Vellore, Tamil Nadu, India"
ABB,ABADA,SER,"Dhulagori, Howrah, West Bengal 711313,.."
ABD,AMBLI ROAD,WR,"Ahmedabad, Gujarat, India"
ABE,AMBIKESHWAR,NCR,"Ankleshwar, Gujarat, India"
ABFC,AMBARI FALAKATA,NFR,"ABFC, Ambari, West Bengal, India"
ABGM,AMBALGRAM,ER,"Ambalgram, West Bengal 713140, India"
ABGT,ARABAGATTA H,SWR,"Arabagatte, Karnataka, India"
ABH,AMBARNATH,CR,"Maharashtra 421501, India"
ABI,AMBATURAI,SR,"Chinnalapatti, Tamil Nadu, India"
ABKA,AMBIKA KALNA,ER,"Kalna, West Bengal, India"
ABKP,AMBIKAPUR,SECR,"Ambikapur, Chhattisgarh, India"
ABLE,AMBALE,CR,"Ambale, Maharashtra 412104, India"
ABO,ASTHAL BOHAR JN,NR,"Asthal Bohar Junction, Rohtak, Haryana.."
ABP,AKBARPUR,NR,"Akbarpur, Uttar Pradesh, India"
ABR,ABU ROAD,NWR,"Abu Road, Rajasthan, India"
ABRV,AMBARI RICHHAVI,WR,"Ambari, Madhya Pradesh 457887, India"
ABS,ABOHAR,NR,"Abohar Railway Station, Abohar, Punjab.."
ABSA,AMBASA,NFR,"National Highway 44, Ambassa, Tripura,.."
ABU,AMBATTUR,SR,"GNG Street, Varadaraja Puram, Ambattur.."
ABW,ABUTARA H,NFR,India
ABX,AMBARI,SCR,"Ambari, West Bengal, India"
ABY,AMBIVLI,CR,"Ambivali, Ambivli, Maharashtra, India"
ACG,ACHEGAON,CR,"Achegaon, Maharashtra, India"
ACH,ACHALGANJ,NR,"Bithar, Uttar Pradesh, India"
ACK,ACHARAPAKKAM,SR,"Tamil Nadu, India"
ACL,ANCHELI,WR,"Navsari, Gujarat, India"
ACLE,AZIMGANJ CITY,ER,"Azimganj City Railway Station, Azimgan.."
ACN,ADHICHCHANUR,SR,"Achanur, Tamil Nadu, India"
ACND,A N DEV NAGAR,NR,"Amanigunj, Faizabad, Uttar Pradesh, In.."
ACPR,ARCHIPATHAR HALT,NFR,"Station Rd, No.1 Nalbari, Assam 787059.."
ACRN,ACHIRNE,KR,
ACU,ACHUARA H,ECR,"Hasan Chak, Bihar 803213, India"
AD,ADONI,SCR,"Adoni Railway Station, Adoni, Andhra P.."
ADB,ADILABAD,SCR,"Adilabad Railway Station, National Hig.."
ADD,ADAS ROAD,WR,"Anand, Gujarat, India"
ADE,ADARI ROAD,WR,"Rd, Uttar Pradesh, India"
ADF,ADINA,NFR,"Adina Railway Station, West Bengal, In.."
ADH,ANDHERI,WR,"Andheri, Mumbai, Maharashtra, India"
ADHL,ADIHALLI,SWR,"Kodihalli, Karnataka, India"
ADI,AHMEDABAD JN,WR,"Ahmedabad, Gujarat, India"
ADL,ANDUL,SER,"Andul, Howrah, West Bengal, India"
ADPT,ANDIPATTI,SR,"Andippatti, Tamil Nadu, India"
ADQ,ADHIKARI,NFR,"Adhikari Cottage, 253/4, Purulia, West.."
ADR,MANDI ADAMPUR,NWR,"Mandi Admapur Railway Station, Adampur.."
ADRA,ADRA JN,SER,"Adra, West Bengal, India"
ADST,ADI SAPTAGRAM,ER,"Hooghly, West Bengal, India"
ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu, India"
ADTL,ADHARTAL,WCR,"Jabalpur, Madhya Pradesh, India"
ADTP,ADITYAPUR,SER,"Jamshedpur, Jharkhand 831013, India"
ADVI,ADAVALI,KR,"Ratnagiri, Maharashtra, India"
ADX,ADAPUR,ECR,"Hospital Rd, Shampur, Bihar 845301, In.."
AED,AULENDA,NCR,"Agra, Uttar Pradesh, India"
AEH,ANANTPAITH,NCR,"Thiruvananthapuram, Kerala, India"
AEJ,ARNEJ,WR,"Arnej, Gujarat, India"
AEK,ANEKAL ROAD,SWR,"Alliance Central Campus, Karnataka, In.."
AEL,ATELI,NWR,"Haryana 123021, India"
AERH,AGRER HALT,ECR,"Agrer, Bihar, India"
AEX,ADDERI,SWR,"Kelaginamane, Karnataka 577431, India"
AF,AGRA FORT,NCR,"Dhuliagunj, Mantola, Agra, Uttar Prade.."
AFK,ANGAMALI,SR,"Angamali Railway Station, NH 47, Angam.."
AFR,ASAFPUR,NR,"Uttar Pradesh, India"
AG,ARANGHATA,ER,"Aranghata, West Bengal, India"
AGA,AGRA CITY,NCR,"Agra City Railway Station, Civil Lines.."
AGAE,AGRADWIP,ER,"Agradwip, West Bengal, India"
AGAS,AGAS,WR,"Anand, Gujarat, India"
AGB,AMBAGAON,ECOR,"Odisha, India"
AGC,AGRA CANTT,NCR,"Agra Cantonment Railway station, Idgah.."
AGCI,ANGADI,WR,"Angadi, GandhiNagar, Kudamaloor, Kotta.."
AGD,AGASOD,NCR,"Madhya Pradesh, India"
AGE,ANGAI H,NCR,"Angai, Uttar Pradesh, India"
AGI,AMGURI,NFR,"Assam 785683, India"
AGL,AMARGOL,SWR,"Hubli, Karnataka, India"
AGM,AGARAM SIBBANDI,SR,"Palliput [Then], Tamil Nadu, India"
AGMN,AGOMONI,NFR,"Agomoni, Assam, India"
AGN,AMGAON,SECR,"Risama, Amgaon, Maharashtra, India"
AGP,AGARPARA,ER,"Barrackpore, West Bengal, India"
AGQ,ASIRGARH ROAD,CR,"Nahargarh Rd, Pink City, Jaipur, Rajas.."
AGR,AMARGARH,WR,"Madhya Pradesh, India"
AGT,AGTHORI,NFR,"Namati Jalah, Assam, India"
AGTL,AGARTALA,NFR,"National Highway 44, Badharghat, Agart.."
AGTR,AGAUTHAR H,NER,"Mc Arthur St, Indio, CA 92201, USA"
AGV,ANGUA P H,SER,"Angua Railway Station, West Bengal 721.."
AGX,AGASTIYAMPALLI,SR,"614810, India"
AGY,AGORI KHAS,NCR,"Sonbhadra, Uttar Pradesh, India"
AGZ,AMAGURA,ECOR,"Bastar, Chhattisgarh, India"
AH,ACHHNERA JN,NCR,"Achhnera Junction, Achhnera, Uttar Pra.."
AHA,ABHAIPUR,ER,"Lakhisarai, Bihar, India"
AHD,AHERWADI,SWR,"Aherwadi, Maharashtra, India"
AHH,AHMADGARH,NR,"Ahmedgarh, Punjab, India"
AHJU,AHJU,NR,"Ahju Railway Station, National Highway.."
AHL,AJHARAIL,NFR,"Bagdob, Bihar, India"
AHLR,AHALYAPUR,NER,"Deoria, Uttar Pradesh, India"
AHM,AHIMANPUR,NER,"Hiranpur, Jharkhand, India"
AHMP,ADARSH MANPUR,ECR,"Bihar, India"
AHN,AHIRAN,ER,"84051 Essenbach, Germany"
AHO,ADARSHNAGAR,NWR,"Ajmer, Rajasthan, India"
AHQ,AHERA,NR,"Ahera, Uttar Pradesh, India"
AHT,AMGHATA,ER,"Amghata, West Bengal 741315, India"
AHU,AHIRAULI H,NER,"Dhensa Nankar, Uttar Pradesh, India"
AHZ,ADHINPUR,NR,Udhampur
AI,ADIPUR,WR,"Meghpar Borichi, Gujarat, India"
AIA,AJARAKA,NWR,"Ajaraka, Rajasthan, India"
AIG,ALGAWAN,NR,"Uttar Pradesh, India"
AIH,ALAWALPUR IDRISPUR,NR,"Bagpat, Uttar Pradesh, India"
AII,AJMER JN,NWR,"Ajmer Junction, Ajmer, Rajasthan 30500.."
AILM,AILAM H,NR,"Ailum, Uttar Pradesh, India"
AIP,ATTIPPATTU,SR,"Attipatttu, Ambattur Industrial Estate.."
AIPP,ATTIPATTU PUDU NGR H,SR,"Thiruvallur, Tamil Nadu, India"
AIR,ALINDRA ROAD,WR,"Smashaan- Ckokadi Road, Heranj, Gujara.."
AIRL,AIROLI,CR,"Airoli, Navi Mumbai, Maharashtra, India"
AIT,AIT,NCR,"AIT, Uttar Pradesh 285201, India"
AJ,AJGAIN,NR,"Kanpur Rd, Uttar Pradesh, India"
AJE,ANJAR,WR,"Navhagam, Anjar, Gujarat, India"
AJH,AJHAI,NCR,"Mathura, Uttar Pradesh, India"
AJI,ANJHI SHAHABAD,NR,"Hardoi, Uttar Pradesh, India"
AJIT,AJIT,NWR,"Barmer, Rajasthan, India"
AJJ,ARAKKONAM,SR,"Arakkonam, Tamil Nadu, India"
AJJN,AROKONAM JN. NORTH B,SR,"Kinoor, Arakkonam, Tamil Nadu, India"
AJK,AJAKOLLU,SCR,"Palakollu, Andhra Pradesh, India"
AJKI,AJIT KHERI,WR,"Mendki Dhakad, Madhya Pradesh 455001, .."
AJL,AJITWAL,NR,"Ajitwal, Punjab, India"
AJM,ADRAJ MOTI,WR,"Adraj Moti, Gujarat, India"
AJN,AJNOD,WR,"Ajnod Railway Station, Madhya Pradesh,.."
AJNI,AJNI,CR,"Nagpur, Maharashtra, India"
AJP,AJJAMPUR,SWR,"Ajjampur Bus Stand, TH Road, Ajjampur,.."
AJR,AJAIBPUR,NCR,"Ajaibpur, Uttar Pradesh, India"
AJRE,AUJURI,NFR,"Assam 782412, India"
AJTM,AJIT GILL MATTA H,NR,"Punjab 151202, India"
AJU,ARJUNI,SECR,"Arjuni, Maharashtra, India"
AJUG,ABJUGANJ,ER,"Abjuganj, SultanGanj, Bihar 813213"
AK,AKOLA JN,CR,"Akola Railway Station, Akola, Maharash.."
AKAH,ARTALAKATTA,SCR,"Talabkatta Rd, Hyderabad, Andhra Prade.."
AKAT,AKKAMPET,SR,"Akkampet, Andhra Pradesh"
AKD,AKODIA,WR,"Shajapur, Madhya Pradesh, India"
AKE,AKANAPET,SCR,"Akanapet, Akkannapet, Andhra Pradesh, .."
AKIP,AKAIPUR H,ER,"Akaipur, West Bengal, India"
AKJ,AKBARGANJ,NR,"Akbarganj, Uttar Pradesh, India"
AKK,AKKIHEBBALU,SWR,"Akkihebbalu, Karnataka, India"
AKLA,AKLERA,WCR,"Aklera, Deopura, Rajasthan 326033, India"
AKM,ARAMBAKAM,SR,"Arambakam, Karuru, Andhra Pradesh, India"
AKN,AKBARNAGAR,ER,"Akbarnagar Station Rd, Akbarnagar, Bih.."
AKNR,ADHYATMIK NAGAR H,NR,"Adhyapak Nagar, New Delhi, Delhi, India"
AKOR,AKALKOT ROAD,CR,"Solapur, Maharashtra, India"
AKOT,AKOT,SCR,"Akot Railway Station, Akot, Maharashtr.."
AKP,ANAKAPALLE,SCR,"Anakapalle, Andhra Pradesh, India"
AKR,AKOLNER,CR,"Unnamed Road, New Ahmednagar, Maharash.."
AKRA,AKRA,ER,"Akra, Kolkata, West Bengal, India"
AKRD,AKURDI,CR,"Akurdi Railway Station, Akurdi, Pimpri.."
AKS,ANKUSPUR,NER,"Ghazipur, Uttar Pradesh, India"
AKSP,ANKSAPUR,SCR,"Telangana 503311, India"
AKT,AKALTARA,SECR,"Akaltara, Chhattisgarh, India"
AKU,ANGALAKUDURU,SCR,"Guntur Road, Angalakuduru, Andhra Prad.."
AKV,ANKLESHWAR JN,WR,"Ankleshwar, Gujarat, India"
AKVD,AKIVIDU,SCR,"Akividu Railway Station, Akividu, Andh.."
AKVU,ANKLESHWAR UDHYOG NA,WR,"Hifazat Nagar, Ankleshwar, Gujarat, In.."
AKW,AKORA,NCR,"Uttar Pradesh, India"
AKZ,AKASHI P H,SER,"Jharkhand 835325, India"
AL,ATTILI,SCR,"Andhra Pradesh, India"
ALAI,ALAI,NWR,"Rajasthan, India"
ALAL,ALAL,NR,"Alal, Punjab, India"
ALAT,AVULADATLA,SWR,"Junjurampalle, Andhra Pradesh 515867, .."
ALAU,ALAU,WR,"Alau, Gujarat, India"
ALB,ALIA BADA,WR,"Jamnagar, Gujarat, India"
ALE,AMLETHA,WR,"Unnamed Road, Gujarat 393140, India"
ALER,ALER,SCR,"Aler, Andhra Pradesh, India"
ALGP,ALGAPUR,NFR,"NH154, Sayedbond Pt I, Assam 788150, I.."
ALJ,ALIGANJ,NER,"Aliganj, Uttar Pradesh, India"
ALJN,ALIGARH JN,NCR,"Aligarh Junction, Aligarh, Uttar Prade.."
ALK,ALAKKUDI,SR,"Thanjavur, Tamil Nadu, India"
ALLP,ALLEPPEY,SR,"Alappuzha Railway Station Bus Stand, A.."
ALM,ALAMANDA,ECOR,"Alamanda Railway Station, Andhra Prade.."
ALMR,ALAMPUR,WR,"Bhavnagar, Gujarat, India"
ALMW,ALMAW H,NER,"Alma College, Raghu Ratan Complex, Sta.."
ALN,ALANDI,CR,"Ramoshiwadi, Maharashtra 412201, India"
ALNI,ALNIYA,WCR,"Kewal Nagar, Rajasthan 325003, India"
ALNP,AKELA HANSPUR H,NER,"Uttar Pradesh, India"
ALP,ALAPAKAM,SR,"Alapakkam, Tamil Nadu, India"
ALPD,ADALPAHARI,ER,"Narayanpur Road, Boro Pahari, West Ben.."
ALPR,ALAMPUR ROAD,SCR,"Alampur Road Railway Station, Alampur .."
ALS,AMLORI SARSAR,NER,"Amlori Sarsar, Bihar, India"
ALU,ARIYALUR,SR,"Ariyalur, Tamil Nadu, India"
ALUH,ALAULI,ECR,"Chharrapatti, [ Alauli Garh ] Anandpur.."
ALV,ANKLAV,WR,"Anklav, Gujarat, India"
ALW,ALWAL,SCR,"Alwal, Hyderabad, Andhra Pradesh, India"
AMA,ATAMANDA,NER,"Jadaunpur, Uttar Pradesh 243203, India"
AMB,AMBODALA,ECOR,"Rayagada, Orissa, India"
AMBG,ARAMBAG,ER,"Arambagh, West Bengal 712601, India"
AMBR,AMBIKA ROHINA,SCR,"Ambika Devi Rd, Maharashtra, India"
AMC,AMRITAPURA,SWR,"Chitradurga, Karnataka, India"
AMD,AMILA H,NER,"Amila, West Bengal, India"
AMDI,AMDI,SECR,"Amdi, Madhya Pradesh, India"
AME,AMETHI,NR,"Mahrajpur, Uttar Pradesh, India"
AMG,ALAMNAGAR,NR,"Alamnagar, Lucknow, Uttar Pradesh, India"
AMGA,AMJONGA,NFR,"Manupara, Assam, India"
AMGU,AMMUGUDA,SCR,"Bolarum, Secunderabad, Telangana 50005.."
AMH,AZAMGARH,NER,"Azamgarh Railway Station, Azamgarh, Ut.."
AMI,AMRAVATI,CR,"Police Station Kotwali Amravati, Amrav.."
AMIN,AMIN,NR,"Amin, Haryana, India"
AML,AMALSAD,WR,"Navsari, Gujarat, India"
AMLA,AMLA JN,CR,"Amla Junction Railway Station, Amla, M.."
AMLI,AMLI,WCR,"State Highway 6, Ranthambore National .."
AMLO,AMLO,ECR,"Amlo Block Halt, KARGALI, Phusro, Jhar.."
AMLP,AMALPUR,WR,"Jamalpur, West Bengal, India"
AMM,ATIRAMPATTINAM,SR,"Railwaystation Road, Adirampattinam, T.."
AMNE,AMALNER BHANDYACHE,CR,Amalner State: Maharashtra
AMNR,AMMANUR,SR,"Ammanur, Tamil Nadu, India"
AMO,AMOLWA,ECR,"Amway India Enterprises Pvt Ltd, 32, J.."
AMP,AHMADPUR JN,ER,"Birbhum, West Bengal, India"
AMPA,AMBALAPUZHA,SR,"Erattakulangara Bus Stop, NH 66, Ambal.."
AMPL,AMMAPALI,ER,"Ammapally, Andhra Pradesh, India"
AMPR,AMARPURA RATHAN,NWR,"Sri Ganganagar, Rajasthan, India"
AMQ,AMMUGUDA,SCR,"Secunderabad, Andhra Pradesh 500056, I.."
AMRA,AMHA PIPRA,ECR,"Amaha, Bihar 852218, India"
AMRO,AMROHA,NR,"Amroha Railway Station, Amroha, Uttar .."
AMS,AMAUSI,NR,"Kanpur Rd, Alambagh, Lucknow, Uttar Pr.."
AMSA,AMMASANDRA,SWR,"Tumkur, Karnataka, India"
AMT,AMMAPET,SR,"Ammapet, Tamil Nadu, India"
AMV,ALAMBAGH LUCKNOW,NR,
AMVA,AMARAVIIA,SR,"Amaravila, Kerala, India"
AMW,AMAN VADI,SCR,"Maharashtra 444503, India"
AMY,AKATHUMURI,SR,"Akathumuri Road, Akathumuri, Kerala, I.."
AMZ,AMTA,SER,"Amta, West Bengal 711401, India"
AN,AMALNER,WR,"Amalner, Maharashtra, India"
ANA,ASLANA,WCR,"Damoh, Madhya Pradesh, India"
ANAH,AUNTA H,ECR,"Aunta, Bihar 803303, India"
ANAS,ANAS,WR,"Gujarat, India"
ANB,AMMANABROLU,SCR,"Prakasam, Andhra Pradesh, India"
ANC,ANNECHAKANAHALLI H,SWR,"Panchanahalli, Karnataka, India"
ANCR,ANCHURI P H,SER,"Anchuri, West Bengal 722102, India"
AND,ANDAMPALLAM,SR,"Andampallam, Tamil Nadu, India"
ANDI,ADRSH NGR DELHI,NR,"New Delhi, Delhi 110052, India"
ANDN,ANAND NAGAR,NER,"Anand Nagar, Uttar Pradesh, India"
ANE,ANANTARAJUPET,SCR,"Anantapur, Andhra Pradesh, India"
ANF,ANANDAPURAM,SWR,"Anandapuram, Kerala, India"
ANG,AHMADNAGAR,CR,"Ahmednagar Railway Station, Ahmednagar.."
ANGL,ANGUL,ECOR,"Railway Colony, Angul, Orissa, India"
ANGM,AUNGARIDHAM H,ECR,"Lane, Gomhar, Bihar 801301, India"
ANGR,ANGADGERI H,SWR,"Angadgeri Halt Station, Karnataka, India"
ANH,ANKORAH AKORHA,ECR,"Aurangabad, Bihar, India"
ANJE,ANGARPATHRA H,ECR,"Jharkhand 828113, India"
ANK,ANKAI,CR,"Savkhede, Maharashtra 423403, India"
ANKL,ANKOLA,KR,"Ankola, Karnataka, India"
ANLG,AMAN LODGE,CR,"Neral - Matheran Rd, Matheran, Maharas.."
ANM,ANAIMALAI ROAD,SR,"Subbe Gounden Pudur, Tamil Nadu 642103.."
ANMD,ARANG MAHANADI,ECOR,"Arang, Chhattisgarh, India"
ANMP,ARJUN NAGAR HALT,ER,"Mathurapur, Jharkhand, India"
ANND,ANAND JN,WR,"Anand, Gujarat, India"
ANNR,ANNANUR,SR,"Jyothi Nagar, Annanur, Ambattur, Tamil.."
ANO,ANJANI,KR,"Ratnagiri, Maharashtra, India"
ANP,ANANDTANDAVPUR,SR,"Anandpur Sahib Railway Station, State .."
ANPR,ANPARA,ECR,"Anpara, Uttar Pradesh, India"
ANQ,AMNAPUR,CR,"Nagpur, Maharashtra, India"
ANR,ANARA,SER,"Purulia, West Bengal, India"
ANSB,ANANDPUR SAHIB,NR,"Anandpur Sahib, Punjab, India"
ANT,ANANTNAG,NR,Anantnag
ANU,ANANGUR,SR,"Anangur, Tamil Nadu, India"
ANV,ANNAVARAM,SCR,"Annavaram Railway Station, Andhra Prad.."
ANVR,ANAND VIHAR,NR,"Karkardooma, New Delhi, Delhi, India"
ANVT,ANAND VIHAR TRM,NR,"Anand Vihar Railway Station, Anand Vih.."
ANW,ANAVAL,WR,"Anaval St, Thiruvananthapuram, Kerala,.."
ANY,ARUMUGANERI,SR,"Arumuganeri, Tamil Nadu, India"
AO,AONLA,NR,"Bareilly, Uttar Pradesh, India"
AON,ARAON,NCR,"Araon Rd, Sirsaganj, Uttar Pradesh, In.."
AONI,AMONI,NFR,"SH 17, Nonoi Village, Assam 782138, In.."
AOR,ARGORA P H,SER,"Argora, Ranchi, Jharkhand, India"
AP,ASHOKAPURAM,SWR,"Ashokapuram Railway Station, Mysore, K.."
APA,AMARPURA,NWR,"Ajmer, Rajasthan, India"
APB,ANUPPAMBATTU,SR,"Anuppanadi, Madurai, Tamil Nadu, India"
APD,ALIPUR DUAR,NFR,"Alipurduar, West Bengal, India"
APDC,ALIPUR DUAR COURT,NFR,"Alipurduar, West Bengal, India"
APDJ,ALIPUR DUAR JN,NFR,"Jalpaiguri, West Bengal, India"
APE,ANDANAPETTAI,SR,"Andanappettai, Manjakkollai, Nagapatti.."
APG,ANUPGANJ,NR,"Daudpur Saidapur, Uttar Pradesh 226501.."
APH,ANUPGARH,NWR,"Anupgarh, Rajasthan, India"
API,AKKARAIPATTI,SR,"Kuthathupatti, Tamil Nadu, India"
APJ,AMARPUR JORASI,NWR,"123023, India"
APK,ARUPPUKKOTTAI,SR,"Vasantham Nagar, Aruppukkottai, Tamil .."
APKH,ASANPUR KUPHA HALT,ECR,"Bihar 852105, India"
APL,APPIKATLA,SCR,"Appikatla, Andhra Pradesh, India"
APMR,APPAIPALLY,SCR,"Begumpet, Telangana 502334, India"
APN,AYODHYAPATTANAM,SR,"Salem, Tamil Nadu, India"
APP,AMBAPENDARPUR H,ECR,"Bihar 803119, India"
APR,ANUPPUR JN,SECR,"Anuppur Railway Station, Anuppur, Madh.."
APRD,APURVA PH,SER,"721423, India"
APRH,ALEHPUR HALT,NER,"Bihar 841413, India"
APT,ANAPARTI,SCR,"Balabhadhrapuram, Andhra Pradesh, India"
APTA,APTA,CR,"Maharashtra 410207, India"
APU,ANIPUR,NFR,"Manipur, India"
AQG,ASHAPURA GOMAT,NWR,"Rajasthan, India"
ARA,ARA JN,ECR,"Anaith, Arrah, Bihar, India"
ARAG,ARAG,CR,"Maharashtra, India"
ARCL,ARUNACHAL,NFR,"Tarapur Pt I, Assam, India"
ARD,AMARDA ROAD,SER,"Amarda Rd, Odisha, India"
ARE,ARNETHA,WCR,"Bundi, Rajasthan, India"
ARG,ANGAR GHAT,ECR,"Samastipur, Bihar, India"
ARGD,ARIGADA,ECR,"Argada Station Rd, Jharkhand 829101, I.."
ARGL,ARGUL PH,ECOR,"Barunei Pitha Bus Stop, National Highw.."
ARGP,ARALAGUPPE H,SWR,"Attiguppe, Bangalore, Karnataka, India"
ARH,AMHERA H,NR,"Amhera, Uttar Pradesh, India"
ARI,ANTRI,NCR,"Antri, Madhya Pradesh, India"
ARJ,AUNRIHAR JN,NER,"Aunrihar Junction Railway Station, Utt.."
ARK,ARAKU,ECOR,"Vishakhapatnam, Andhra Pradesh, India"
ARKA,ARKHA H,NR,"Rae Bareli, Uttar Pradesh, India"
ARL,ARAUL MAKANPUR,NER,"Araul, Uttar Pradesh, India"
ARMU,ARMUR,SCR,"Armoor, NH44, Armoor, Telangana 503224.."
ARN,ARAND,ECOR,"Mahasamund, Chhattisgarh, India"
ARNA,ARNIA,NWR,"Chandanwas, Rajasthan 303313, India"
ARNB,AMARUN,ER,"Arra, West Bengal, India"
ARNG,ARUN NAGAR H,SECR,"Arun Nagar, Kapra, Secunderabad, Andhr.."
ARNH,ARJUNAHALLI H,SWR,"Arjunahalli Railway Station, Karnataka.."
AROR,AROOR,SR,"Aroor, Kerala, India"
ARP,ATRAMPUR,NR,"Uttar Pradesh, India"
ARPL,AREPALLI H,SCR,"Arepalli, Andhra Pradesh, India"
ARPR,ALIRAJPUR,WR,"Saija, Madhya Pradesh 457887, India"
ARQ,ARARIYA COURT,NFR,"Araria, Bihar, India"
ARR,ARARIYA,NFR,"Araria, Bihar, India"
ARU,ARASALU H,SWR,"Arasalu, Karnataka, India"
ARV,ARNI ROAD,SR,"Illuppakunam Road, Kalambur, Tamil Nad.."
ARX,ARELI H,NER,"Shahjahanpur, Uttar Pradesh, India"
AS,ARJANSAR,NWR,"Bikaner, Rajasthan, India"
ASAF,ASIFABAD ROAD,SCR,"Adilabad, Andhra Pradesh, India"
ASAN,ASAN,NR,"Assam, India"
ASAR,ASRA HALT,NR,"Bagpat, Uttar Pradesh, India"
ASB,ASANBONI,SER,"East Singhbhum, Jharkhand, India"
ASBS,A S BHALE SULTN,NR,"Misharauli, Uttar Pradesh, India"
ASCE,ATHSARAI,NCR,"Uttar Pradesh, India"
ASD,AMBASAMUDRAM,SR,"Ambasamudram Railway Station, Tirunelv.."
ASE,ASAUDAH,NR,"Asaudah, Loharheri, Haryana, India"
ASH,AISHBAGH,NER,"Aishbagh Railway Station, Malviya Naga.."
ASI,ARSENI,NR,"Hardoi, Uttar Pradesh, India"
ASJP,AMAR SAHEED J P H,ECR,"Bhojpur, Bihar, India"
ASK,ARSIKERE JN,SWR,"Arsikere Junction Railway Station, Ars.."
ASKN,ASHOK NAGAR,WCR,"Ashoknagar Railway Station, Station Ro.."
ASKR,ASHOKNAGAR ROAD,ER,"Mohari Road, Ashoknagar, Madhya Prades.."
ASL,ASLAODA,WR,"Ujjain, Madhya Pradesh, India"
ASLU,ASLU,NWR,"Churu, Rajasthan, India"
ASN,ASANSOL JN,ER,"Asansol Junction Railway Station, Asan.."
ASO,ASANGAON,CR,"Asangaon, Maharashtra, India"
ASP,ASPARI,SCR,"Aspari, Andhra Pradesh, India"
ASR,AMRITSAR JN,NR,"Amritsar Junction Railway Station, Put.."
AST,ASAOTI,NR,"Asaoti, Haryana, India"
ASTG,ASTEGAON,CR,"Rohnala, Maharashtra 444905, India"
ASV,ASARVA JN,WR,"Asarwa, Ahmedabad, Gujarat, India"
AT,ASNOTI,KR,"State Highway 34, Karnataka, India"
ATA,ATA,NCR,"Aata, Uttar Pradesh 285202, India"
ATB,ALATTAMBADI,SR,"Thatchambadi, Tamil Nadu, India"
ATC,ARTS COLLEGE,SCR,"Boudha Nagar Bus Stop, Boudha Nagar, B.."
ATDA,ATLADARA,WR,"Atladara, Vadodara, Gujarat, India"
ATE,ATARRA,NCR,"Atarra Railway Station, Atarra, Uttar .."
ATG,ATGAON,CR,"Atgaon, Maharashtra, India"
ATH,ANTAH,WCR,"Antah, Rajasthan, India"
ATKS,ATWA KURSATH,NR,"Hardoi, Uttar Pradesh, India"
ATL,ATHMAL GOLA,ECR,"Ramnagar Korari Kochhar, Bihar 803211,.."
ATM,ALTAGRAM,NFR,"Jalpaiguri, West Bengal, India"
ATMO,AITHAL,NR,"Uttarakhand, India"
ATNR,AWATARNAGAR,ECR,"Awatarnagar Railway Station, Bihar, In.."
ATP,ANANTAPUR,SCR,"Anantapur Railway Station, Anantapur, .."
ATPA,AWANTIPURA,NR,Awantipura
ATQ,ARANTANGI,SR,"Arantangi Railway Station, Aranthangi,.."
ATRI,ATRI PH,ECOR,"Atri, Odisha, India"
ATRR,ATRAURA H,NER,"Sant Ravidas Nagar, Uttar Pradesh, India"
ATRU,ATRU,WCR,"Atru, Rajasthan, India"
ATS,ATTABIRA,ECOR,"Bargarh, Orissa, India"
ATT,ATARI,NR,"Atari, Punjab, India"
ATU,ATTUR,SR,"Attur, Tamil Nadu, India"
ATUL,ATUL,WR,"Gujarat, India"
ATW,ATWA MUTHIA H,NR,"Hardoi, Uttar Pradesh, India"
ATWN,ASTHWAN,ECR,"Bihar 803107, India"
ATX,ALINAGAR TOLA,ECR,"Garnaha Milik, Bihar 854306, India"
AUB,ALUABARI ROAD,NFR,"Vivekananda Para, Narayanpur, Islampur.."
AUBR,ANUGRAHA N ROAD,ECR,"Anugrah Narayan Rd, Bihar, India"
AUI,AURAHI F,ECR,"Aurahi, Bihar, India"
AUL,AGSAULI,NER,"Uttar Pradesh, India"
AUN,AURANG NAGAR,NWR,"Haryana 127032, India"
AUNG,AUNG,NCR,"Aung Bwei, Burma"
AUR,ATRAULI ROAD,NR,"Atrauli-Aligarh Bypass Rd, Aligarh, Ut.."
AUS,ANUPSHAHR,NWR,"Hanumangarh, Rajasthan, India"
AUWA,AUWA,NWR,"Pali, Rajasthan, India"
AV,ASVALI,CR,"Nashik, Maharashtra, India"
AVA,AMBEWADI,SWR,"Dandeli, Karnataka, India"
