station_name,station_full_name,station_zone,station_address
IGRL,INGORALA,WR,"Ingorala, Gujarat, India"
IGTA,LNGOHTA,NCR,"Hamirpur, Uttar Pradesh, India"
IGU,IRUGUR,SR,"Coimbatore, Tamil Nadu, India"
IHP,INCHHAPURI,NR,"Haryana 122504, India"
IJ,ITAUNJA,NER,"Itaunja, Uttar Pradesh, India"
IJK,IRINJALAKUDA,SR,"Irinjalakkuda Railway Station, Kalletu.."
IK,IKRAN,NCR,"India, Moldova"
IKD,IKDORI,NCR,"Ikdori Railway Station, Rajasthan, India"
IKI,ITKYALA,SCR,"Itikyal, Andhra Pradesh, India"
IKK,IKKAR,NR,"Ikkar Railway Station, Uttarakhand, In.."
IKR,IKLEHRA,CR,"Iklehra, Madhya Pradesh, India"
ILA,SILAIMAN,SR,"Silaiman, Tamil Nadu, India"
ILO,ILLOO,SER,"India St, Brooklyn, NY 11222, USA"
IMAM,IMAMPURAM,SCR,
IMBG,IMLIBIGHA HALT,ECR,
IMGE,ISMAILPUR,ECR,"Ismailpur, Bihar, India"
IMLI,IMLI,ECR,"Imli Rd, Shahjahanpur, Uttar Pradesh, .."
IMR,IBRAHIMPUR,SWR,"Ibrahimpur, Uttar Pradesh, India"
INDB,INDORE JN BG,WR,"Indore Railway Station, Chhoti Gwaltol.."
INDR,INDRA NAGAR,SR,"Chennai, Tamil Nadu, India"
INJ,INNANJE,KR,"Innanje, Karnataka, India"
INK,INTAKANNE,SCR,"Warangal, Andhra Pradesh, India"
INP,INDAPUR,KR,"Indapur, Maharashtra, India"
INS,INDAS PH,SER,"Indas, West Bengal, India"
IP,ICHHAPUR,ER,"Ichapur, West Bengal, India"
IPG,IPPUGUDA,SCR,"Telangana 506301, India"
IPL,IDAPLLI,SR,"Indupalli, Andhra Pradesh, India"
IPM,ICHCHPURAM,ECOR,"Ichchapuram Railway Station, Ichchapur.."
IPPM,IPURUPALEM,SCR,"Ipurupalem, Andhra Pradesh, India"
IPR,ISLAMPUR,ECR,"Station Rd, Islampur, Bihar 801303, In.."
IQB,IQBALPUR,NR,"Uttarakhand, India"
IQG,IQBAL GADH,NWR,"Dr M Iqbal, 101, Rawatbhata Rd, Pratap.."
IRA,ISRANA H,NR,"Israna, Haryana, India"
IRN,IRGAON P H,SER,"Jharkhand 835325, India"
IRP,IRAVIPURAM,SR,"Pallimukku-Eravipuram Rd, Valathangal,.."
ISA,ISARDA,NWR,"Isarda Railway Station, Isarda, Rajast.."
